Ord_id,Order_ID,Order_Date,Order_Priority
Ord_98,15907,2011-04-11,HIGH
Ord_99,15937,2012-11-06,LOW
Ord_100,16039,2012-05-16,HIGH
Ord_101,16193,2012-04-09,NOT SPECIFIED
Ord_102,16423,2012-08-05,MEDIUM
Ord_103,16451,2009-07-22,NOT SPECIFIED
Ord_104,16545,2010-05-09,NOT SPECIFIED
Ord_105,16547,2009-02-18,NOT SPECIFIED
Ord_106,16706,2012-06-27,HIGH
Ord_107,16741,2010-09-30,MEDIUM
Ord_108,16932,2010-04-15,CRITICAL
Ord_109,17283,2011-09-14,NOT SPECIFIED
Ord_110,17286,2010-09-21,HIGH
Ord_111,17409,2010-08-17,NOT SPECIFIED
Ord_112,17764,2009-09-16,LOW
Ord_113,18080,2009-06-22,HIGH
Ord_114,18113,2012-08-28,NOT SPECIFIED
Ord_115,18144,2011-06-07,CRITICAL
Ord_116,18308,2009-10-09,NOT SPECIFIED
Ord_117,18887,2010-12-05,NOT SPECIFIED
Ord_118,19010,2009-06-07,LOW
Ord_119,19078,2009-07-27,CRITICAL
Ord_120,19138,2011-09-05,LOW
Ord_121,19655,2009-01-11,HIGH
Ord_122,19686,2010-08-15,MEDIUM
Ord_123,20007,2009-08-05,NOT SPECIFIED
Ord_124,20071,2011-09-17,MEDIUM
Ord_125,20160,2011-10-22,LOW
Ord_126,20263,2009-11-14,MEDIUM
Ord_127,21285,2010-07-03,MEDIUM
Ord_128,21383,2009-01-30,LOW
Ord_129,21607,2012-03-15,NOT SPECIFIED
Ord_130,21636,2009-08-10,LOW
Ord_131,21889,2010-04-01,LOW
Ord_132,22151,2010-07-31,HIGH
Ord_133,22342,2009-05-29,LOW
Ord_134,22469,2010-10-11,HIGH
Ord_135,22501,2010-05-18,HIGH
Ord_136,22532,2011-02-08,CRITICAL
Ord_137,23264,2010-12-07,CRITICAL
Ord_138,23488,2009-01-06,CRITICAL
Ord_139,23584,2012-03-12,CRITICAL
Ord_140,24007,2010-08-26,LOW
Ord_141,24038,2011-06-20,HIGH
Ord_142,24097,2010-08-04,HIGH
Ord_143,24128,2010-11-23,HIGH
Ord_144,24294,2009-08-02,NOT SPECIFIED
Ord_145,24387,2011-08-10,CRITICAL
Ord_146,24515,2010-05-06,CRITICAL
Ord_147,24743,2012-06-28,LOW
Ord_148,24871,2011-03-23,MEDIUM
Ord_149,25318,2011-11-19,CRITICAL
Ord_150,25377,2012-11-26,LOW
Ord_151,25634,2010-07-29,NOT SPECIFIED
Ord_152,25733,2012-05-12,LOW
Ord_153,25767,2012-03-03,HIGH
Ord_154,26023,2010-08-20,HIGH
Ord_155,26051,2010-06-27,NOT SPECIFIED
Ord_156,26116,2012-10-29,CRITICAL
Ord_157,26182,2010-01-16,NOT SPECIFIED
Ord_158,26272,2012-06-29,LOW
Ord_159,26370,2011-08-08,NOT SPECIFIED
Ord_160,26499,2010-02-21,MEDIUM
Ord_161,26531,2011-06-20,MEDIUM
Ord_162,26567,2009-09-04,CRITICAL
Ord_163,26854,2009-06-21,NOT SPECIFIED
Ord_164,27109,2012-02-08,CRITICAL
Ord_165,27111,2009-03-11,HIGH
Ord_166,27264,2011-06-04,LOW
Ord_167,27392,2012-03-02,LOW
Ord_168,27553,2011-08-12,MEDIUM
Ord_169,27555,2009-09-01,CRITICAL
Ord_170,27680,2010-01-26,CRITICAL
Ord_171,27778,2011-09-02,CRITICAL
Ord_172,27909,2012-02-07,CRITICAL
Ord_173,28003,2011-03-19,CRITICAL
Ord_174,28035,2011-05-08,NOT SPECIFIED
Ord_175,28135,2009-09-25,CRITICAL
Ord_176,28165,2012-07-09,NOT SPECIFIED
Ord_177,28289,2010-01-14,HIGH
Ord_178,28486,2009-08-26,HIGH
Ord_179,28675,2009-10-08,CRITICAL
Ord_180,28870,2011-11-10,HIGH
Ord_181,28871,2012-04-15,HIGH
Ord_182,29030,2012-01-02,MEDIUM
Ord_183,29095,2011-03-08,NOT SPECIFIED
Ord_184,29287,2009-07-02,HIGH
Ord_185,29510,2011-04-15,CRITICAL
Ord_186,29795,2011-11-25,HIGH
Ord_187,29861,2012-04-25,CRITICAL
Ord_188,30658,2011-03-26,MEDIUM
Ord_189,30947,2010-07-14,LOW
Ord_190,31077,2010-10-23,NOT SPECIFIED
Ord_191,31111,2009-08-24,NOT SPECIFIED
Ord_192,31169,2011-06-09,LOW
Ord_193,31270,2012-11-23,MEDIUM
Ord_194,31364,2009-05-01,NOT SPECIFIED
Ord_195,31393,2012-05-11,CRITICAL
Ord_196,31492,2010-10-15,CRITICAL
Ord_197,31558,2011-07-23,LOW
Ord_198,31618,2011-07-11,CRITICAL
Ord_199,31684,2012-09-16,CRITICAL
Ord_200,31781,2009-01-16,MEDIUM
Ord_201,32193,2010-10-20,LOW
Ord_202,32229,2010-08-30,HIGH
Ord_203,32743,2010-05-07,CRITICAL
Ord_204,32806,2011-06-21,CRITICAL
Ord_205,33123,2010-11-24,MEDIUM
Ord_206,33159,2012-04-27,MEDIUM
Ord_207,33186,2012-08-28,LOW
Ord_208,33377,2011-07-31,HIGH
Ord_209,33444,2012-10-06,MEDIUM
Ord_210,33703,2010-02-06,NOT SPECIFIED
Ord_211,33734,2011-10-17,NOT SPECIFIED
Ord_212,33888,2009-08-20,NOT SPECIFIED
Ord_213,33894,2010-06-14,CRITICAL
Ord_214,33922,2010-02-27,NOT SPECIFIED
Ord_215,34177,2009-08-15,HIGH
Ord_216,34215,2011-05-14,HIGH
Ord_217,34246,2010-10-07,CRITICAL
Ord_218,34631,2009-10-23,NOT SPECIFIED
Ord_219,35047,2010-06-09,MEDIUM
Ord_220,35266,2011-01-10,NOT SPECIFIED
Ord_221,35847,2009-01-30,CRITICAL
Ord_222,36001,2011-03-28,LOW
Ord_223,36134,2010-11-22,LOW
Ord_224,36135,2011-05-30,NOT SPECIFIED
Ord_225,36644,2012-05-13,HIGH
Ord_226,36646,2010-06-08,MEDIUM
Ord_227,36707,2009-11-29,MEDIUM
Ord_228,37253,2012-09-01,HIGH
Ord_229,37541,2010-02-26,MEDIUM
Ord_230,37634,2012-05-21,MEDIUM
Ord_231,37793,2009-11-08,NOT SPECIFIED
Ord_232,37860,2010-08-27,MEDIUM
Ord_233,38884,2012-08-17,HIGH
Ord_234,39364,2012-11-09,HIGH
Ord_235,39457,2011-06-02,CRITICAL
Ord_236,39683,2011-08-10,HIGH
Ord_237,39846,2009-02-27,LOW
Ord_238,40036,2010-06-07,NOT SPECIFIED
Ord_239,40067,2012-02-17,LOW
Ord_240,40132,2012-02-23,LOW
Ord_241,40160,2009-10-15,CRITICAL
Ord_242,40518,2009-03-13,CRITICAL
Ord_243,40804,2010-03-12,MEDIUM
Ord_244,40902,2009-07-07,LOW
Ord_245,41063,2012-11-21,LOW
Ord_246,41153,2009-03-02,MEDIUM
Ord_247,41184,2011-09-22,HIGH
Ord_248,41409,2011-07-21,NOT SPECIFIED
Ord_249,41696,2009-07-13,NOT SPECIFIED
Ord_250,42209,2010-03-29,HIGH
Ord_251,42561,2010-02-06,LOW
Ord_252,42564,2012-09-12,LOW
Ord_253,42695,2010-12-22,NOT SPECIFIED
Ord_254,42981,2009-05-30,CRITICAL
Ord_255,43109,2012-12-21,CRITICAL
Ord_256,43203,2012-02-14,NOT SPECIFIED
Ord_257,43236,2010-07-03,NOT SPECIFIED
Ord_258,43267,2011-05-16,CRITICAL
Ord_259,43329,2010-03-07,MEDIUM
Ord_260,43330,2009-04-27,NOT SPECIFIED
Ord_261,43364,2012-04-07,HIGH
Ord_262,43392,2010-12-31,MEDIUM
Ord_263,43781,2010-02-02,NOT SPECIFIED
Ord_264,44071,2012-04-15,NOT SPECIFIED
Ord_265,44519,2010-05-19,HIGH
Ord_266,44708,2009-07-27,NOT SPECIFIED
Ord_267,44772,2009-03-31,NOT SPECIFIED
Ord_268,44839,2012-06-11,CRITICAL
Ord_269,45217,2010-09-01,NOT SPECIFIED
Ord_270,45440,2012-08-09,CRITICAL
Ord_271,45766,2010-05-07,HIGH
Ord_272,45861,2011-08-25,MEDIUM
Ord_273,45957,2010-09-21,CRITICAL
Ord_274,46912,2012-06-30,LOW
Ord_275,46980,2011-01-17,CRITICAL
Ord_276,47460,2010-10-10,CRITICAL
Ord_277,47462,2011-06-09,HIGH
Ord_278,47620,2012-06-26,LOW
Ord_279,47749,2010-03-16,MEDIUM
Ord_280,47873,2010-11-13,CRITICAL
Ord_281,47943,2009-11-14,MEDIUM
Ord_282,48101,2011-09-12,HIGH
Ord_283,48295,2009-11-23,MEDIUM
Ord_284,48839,2010-07-10,CRITICAL
Ord_285,49154,2009-03-06,MEDIUM
Ord_286,49921,2011-02-17,LOW
Ord_287,49952,2011-11-19,HIGH
Ord_288,50117,2011-06-03,CRITICAL
Ord_289,50278,2010-05-25,HIGH
Ord_290,50374,2009-05-30,NOT SPECIFIED
Ord_291,50565,2012-08-30,HIGH
Ord_292,50688,2011-12-16,CRITICAL
Ord_293,50754,2009-12-09,NOT SPECIFIED
Ord_294,50914,2012-07-03,CRITICAL
Ord_295,51169,2010-12-24,HIGH
Ord_296,51938,2011-05-17,LOW
Ord_297,51970,2012-01-11,NOT SPECIFIED
Ord_298,51971,2011-10-03,NOT SPECIFIED
Ord_299,52193,2010-03-05,NOT SPECIFIED
Ord_300,52321,2011-11-05,HIGH
Ord_301,52386,2009-01-05,HIGH
Ord_302,52807,2010-11-25,MEDIUM
Ord_303,52929,2011-04-08,HIGH
Ord_304,52964,2010-03-31,CRITICAL
Ord_305,53156,2012-03-10,NOT SPECIFIED
Ord_306,53511,2009-02-20,MEDIUM
Ord_307,53797,2009-10-01,CRITICAL
Ord_308,53990,2012-11-01,NOT SPECIFIED
Ord_309,54083,2011-07-21,HIGH
Ord_310,54274,2010-11-23,NOT SPECIFIED
Ord_311,54276,2010-02-06,NOT SPECIFIED
Ord_312,54528,2011-01-04,MEDIUM
Ord_313,54567,2009-08-02,MEDIUM
Ord_314,54628,2010-06-05,HIGH
Ord_315,55298,2009-08-02,CRITICAL
Ord_316,55363,2010-12-28,HIGH
Ord_317,55366,2012-10-10,CRITICAL
Ord_318,55715,2011-04-02,CRITICAL
Ord_319,55875,2009-11-25,CRITICAL
Ord_320,56453,2012-04-11,CRITICAL
Ord_321,57127,2010-02-16,LOW
Ord_322,57344,2010-09-24,HIGH
Ord_323,57509,2009-02-21,LOW
Ord_324,57600,2012-11-11,CRITICAL
Ord_325,58055,2011-10-27,CRITICAL
Ord_326,58144,2009-12-16,LOW
Ord_327,58150,2010-05-07,CRITICAL
Ord_328,58340,2011-01-08,MEDIUM
Ord_329,58368,2012-07-09,HIGH
Ord_330,58434,2009-03-09,HIGH
Ord_331,58626,2011-12-30,HIGH
Ord_332,58688,2009-03-29,NOT SPECIFIED
Ord_333,59045,2011-02-13,CRITICAL
Ord_334,59047,2011-01-28,NOT SPECIFIED
Ord_335,59202,2012-09-08,MEDIUM
Ord_336,59207,2009-05-18,CRITICAL
Ord_337,59234,2012-07-29,LOW
Ord_338,59395,2012-04-22,CRITICAL
Ord_339,59558,2012-07-16,NOT SPECIFIED
Ord_340,59585,2012-09-22,HIGH
Ord_341,59651,2010-05-20,CRITICAL
Ord_342,645,2009-12-02,HIGH
Ord_343,769,2010-06-01,MEDIUM
Ord_344,773,2010-09-25,MEDIUM
Ord_345,1187,2012-11-19,MEDIUM
Ord_346,2339,2010-12-14,LOW
Ord_347,3521,2012-10-25,LOW
Ord_348,4007,2010-06-17,HIGH
Ord_349,4416,2012-06-29,LOW
Ord_350,4454,2009-02-01,LOW
Ord_351,5153,2011-08-25,CRITICAL
Ord_352,5446,2009-06-20,LOW
Ord_353,8131,2010-05-03,CRITICAL
Ord_354,8994,2009-04-07,LOW
Ord_355,9027,2011-09-02,LOW
Ord_356,9216,2011-04-14,MEDIUM
Ord_357,9537,2011-02-13,NOT SPECIFIED
Ord_358,9574,2011-07-30,MEDIUM
Ord_359,10435,2010-08-10,MEDIUM
Ord_360,10851,2009-04-06,HIGH
Ord_361,10852,2010-10-26,HIGH
Ord_362,11269,2012-05-26,LOW
Ord_363,11362,2012-09-10,LOW
Ord_364,11968,2011-03-16,LOW
Ord_365,12293,2011-06-18,HIGH
Ord_366,12773,2011-01-11,LOW
Ord_367,12934,2009-03-05,NOT SPECIFIED
Ord_368,13120,2009-12-14,LOW
Ord_369,13604,2009-02-02,NOT SPECIFIED
Ord_370,13927,2009-08-26,LOW
Ord_371,15044,2012-03-06,LOW
Ord_372,15139,2009-11-19,HIGH
Ord_373,15463,2010-07-24,LOW
Ord_374,15618,2010-08-04,MEDIUM
Ord_375,16100,2011-03-07,MEDIUM
Ord_376,16320,2011-10-20,NOT SPECIFIED
Ord_377,16419,2009-08-04,NOT SPECIFIED
Ord_378,17090,2010-04-28,LOW
Ord_379,17315,2009-04-22,LOW
Ord_380,17376,2011-12-04,HIGH
Ord_381,18210,2010-08-06,NOT SPECIFIED
Ord_382,18273,2011-09-15,LOW
Ord_383,18788,2009-10-02,NOT SPECIFIED
Ord_384,19042,2009-03-01,CRITICAL
Ord_385,19073,2009-06-24,NOT SPECIFIED
Ord_386,19365,2011-01-16,MEDIUM
Ord_387,19617,2012-01-20,LOW
Ord_388,20033,2010-05-21,CRITICAL
Ord_389,21223,2012-03-15,NOT SPECIFIED
Ord_390,21378,2011-08-07,MEDIUM
Ord_391,21542,2011-05-21,HIGH
Ord_392,22656,2010-12-22,NOT SPECIFIED
Ord_393,22695,2009-07-03,LOW
Ord_394,23076,2009-05-27,CRITICAL
Ord_395,24067,2012-08-22,HIGH
Ord_396,24388,2011-01-26,CRITICAL
Ord_397,24451,2012-12-03,CRITICAL
Ord_398,24806,2010-09-06,NOT SPECIFIED
Ord_399,24965,2011-03-29,LOW
Ord_400,25154,2010-08-20,HIGH
Ord_401,25315,2010-12-02,LOW
Ord_402,25376,2011-03-26,CRITICAL
Ord_403,26240,2009-12-19,CRITICAL
Ord_404,26791,2011-04-29,LOW
Ord_405,28836,2010-10-24,HIGH
Ord_406,28995,2010-05-12,HIGH
Ord_407,29121,2010-04-11,MEDIUM
Ord_408,29319,2009-01-24,LOW
Ord_409,29382,2010-11-17,HIGH
Ord_410,29445,2010-09-29,HIGH
Ord_411,29762,2010-08-03,CRITICAL
Ord_412,30048,2011-06-13,MEDIUM
Ord_413,30243,2010-05-05,CRITICAL
Ord_414,30372,2010-08-30,HIGH
Ord_415,30499,2012-10-30,HIGH
Ord_416,32199,2009-07-15,HIGH
Ord_417,32327,2012-08-07,LOW
Ord_418,32676,2009-02-01,CRITICAL
Ord_419,32835,2012-07-07,MEDIUM
Ord_420,32869,2009-03-27,MEDIUM
Ord_421,33763,2010-09-23,NOT SPECIFIED
Ord_422,34048,2011-03-28,LOW
Ord_423,34275,2009-07-01,LOW
Ord_424,34438,2010-12-11,HIGH
Ord_425,34880,2009-09-16,HIGH
Ord_426,34978,2011-02-04,HIGH
Ord_427,35141,2010-09-11,MEDIUM
Ord_428,35300,2010-03-02,MEDIUM
Ord_429,35558,2009-09-15,CRITICAL
Ord_430,36293,2010-12-30,MEDIUM
Ord_431,36516,2011-07-25,MEDIUM
Ord_432,36677,2009-12-23,LOW
Ord_433,37185,2012-10-31,HIGH
Ord_434,37888,2009-12-22,CRITICAL
Ord_435,38310,2012-04-14,HIGH
Ord_436,40327,2011-05-13,MEDIUM
Ord_437,40480,2011-12-07,CRITICAL
Ord_438,40800,2010-12-04,NOT SPECIFIED
Ord_439,40835,2009-11-24,HIGH
Ord_440,40871,2011-09-13,NOT SPECIFIED
Ord_441,41570,2010-12-03,NOT SPECIFIED
Ord_442,41991,2011-12-18,LOW
Ord_443,42400,2012-08-09,LOW
Ord_444,42754,2010-08-24,CRITICAL
Ord_445,42918,2011-05-22,HIGH
Ord_446,42944,2012-11-18,CRITICAL
Ord_447,44037,2012-06-28,HIGH
Ord_448,44387,2009-02-04,LOW
Ord_449,44576,2009-12-25,NOT SPECIFIED
Ord_450,45601,2011-09-26,HIGH
Ord_451,45606,2011-09-22,MEDIUM
Ord_452,46119,2009-02-15,CRITICAL
Ord_453,46756,2009-10-11,MEDIUM
Ord_454,47714,2011-03-10,MEDIUM
Ord_455,47846,2012-08-11,HIGH
Ord_456,47876,2009-12-25,HIGH
Ord_457,48067,2012-06-29,LOW
Ord_458,48199,2009-01-18,NOT SPECIFIED
Ord_459,49029,2012-05-20,HIGH
Ord_460,49216,2009-03-19,HIGH
Ord_461,49990,2009-09-05,NOT SPECIFIED
Ord_462,50081,2009-11-03,NOT SPECIFIED
Ord_463,50404,2011-03-26,HIGH
Ord_464,50784,2012-02-10,HIGH
Ord_465,50850,2009-05-06,CRITICAL
Ord_466,51075,2010-11-23,NOT SPECIFIED
Ord_467,51461,2011-02-10,NOT SPECIFIED
Ord_468,51558,2010-03-29,NOT SPECIFIED
Ord_469,52130,2012-09-05,LOW
Ord_470,52482,2011-01-31,CRITICAL
Ord_471,53410,2009-08-07,CRITICAL
Ord_472,53477,2012-05-05,HIGH
Ord_473,53508,2009-11-10,HIGH
Ord_474,53703,2010-06-14,NOT SPECIFIED
Ord_475,54115,2012-01-07,LOW
Ord_476,54437,2010-12-19,HIGH
Ord_477,54501,2012-11-29,CRITICAL
Ord_478,54753,2009-04-18,MEDIUM
Ord_479,55138,2009-09-24,HIGH
Ord_480,55271,2011-03-11,MEDIUM
Ord_481,55331,2010-12-13,HIGH
Ord_482,55618,2012-01-21,MEDIUM
Ord_483,56645,2012-01-06,LOW
Ord_484,56803,2009-12-10,NOT SPECIFIED
Ord_485,57159,2010-02-12,CRITICAL
Ord_486,57507,2009-06-26,CRITICAL
Ord_487,57922,2011-02-08,CRITICAL
Ord_488,58117,2011-02-20,CRITICAL
Ord_489,58278,2012-09-10,HIGH
Ord_490,58502,2010-02-12,CRITICAL
Ord_491,58788,2010-02-01,LOW
Ord_492,58947,2011-09-26,NOT SPECIFIED
Ord_493,59074,2010-08-12,LOW
Ord_494,59233,2010-08-20,HIGH
Ord_495,59425,2012-05-17,MEDIUM
Ord_496,59750,2010-07-09,LOW
Ord_497,35,2011-10-22,NOT SPECIFIED
Ord_498,294,2010-07-15,MEDIUM
Ord_499,450,2011-03-04,NOT SPECIFIED
Ord_500,1028,2009-01-05,HIGH
Ord_501,1314,2009-05-12,MEDIUM
Ord_502,2279,2010-02-22,MEDIUM
Ord_503,2465,2011-06-23,CRITICAL
Ord_504,2530,2009-03-20,MEDIUM
Ord_505,2883,2011-01-22,LOW
Ord_506,3362,2011-07-28,LOW
Ord_507,5318,2010-04-03,HIGH
Ord_508,5988,2010-11-21,NOT SPECIFIED
Ord_509,6115,2010-09-11,MEDIUM
Ord_510,6337,2011-08-31,NOT SPECIFIED
Ord_511,6434,2009-06-07,HIGH
Ord_512,7136,2009-03-22,HIGH
Ord_513,7489,2010-09-30,CRITICAL
Ord_514,7968,2010-09-15,LOW
Ord_515,8227,2010-01-10,NOT SPECIFIED
Ord_516,9123,2010-06-26,CRITICAL
Ord_517,9792,2011-07-23,LOW
Ord_518,9860,2010-10-10,CRITICAL
Ord_519,10310,2009-02-05,LOW
Ord_520,10369,2011-11-09,LOW
Ord_521,10692,2009-07-26,LOW
Ord_522,11553,2009-04-18,MEDIUM
Ord_523,11776,2012-02-24,LOW
Ord_524,11782,2012-07-28,LOW
Ord_525,12199,2011-12-14,LOW
Ord_526,14275,2010-06-13,LOW
Ord_527,14535,2010-10-01,NOT SPECIFIED
Ord_528,15329,2012-04-27,HIGH
Ord_529,15621,2011-09-24,CRITICAL
Ord_530,17826,2012-06-30,HIGH
Ord_531,17926,2011-11-10,CRITICAL
Ord_532,18247,2009-11-05,NOT SPECIFIED
Ord_533,18471,2009-02-19,NOT SPECIFIED
Ord_534,19813,2010-03-02,CRITICAL
Ord_535,20322,2009-06-28,CRITICAL
Ord_536,20422,2009-01-26,HIGH
Ord_537,20448,2011-08-02,CRITICAL
Ord_538,21892,2010-07-04,HIGH
Ord_539,22980,2012-10-01,NOT SPECIFIED
Ord_540,23907,2011-07-14,NOT SPECIFIED
Ord_541,24064,2010-07-25,MEDIUM
Ord_542,24132,2009-07-06,LOW
Ord_543,24576,2012-12-11,NOT SPECIFIED
Ord_544,25248,2011-12-01,MEDIUM
Ord_545,25475,2009-04-04,CRITICAL
Ord_546,26978,2010-06-25,MEDIUM
Ord_547,27105,2011-02-16,NOT SPECIFIED
Ord_548,28068,2010-08-26,LOW
Ord_549,28802,2010-11-04,HIGH
Ord_550,28839,2009-04-28,LOW
Ord_551,29252,2009-08-06,LOW
Ord_552,31941,2009-03-18,MEDIUM
Ord_553,32418,2009-01-05,NOT SPECIFIED
Ord_554,34241,2012-10-08,LOW
Ord_555,34816,2010-11-05,NOT SPECIFIED
Ord_556,35011,2012-12-10,NOT SPECIFIED
Ord_557,36068,2009-02-05,CRITICAL
Ord_558,36930,2011-09-28,MEDIUM
Ord_559,37315,2012-06-05,LOW
Ord_560,37925,2010-09-26,MEDIUM
Ord_561,38021,2009-01-21,MEDIUM
Ord_562,38336,2012-10-05,CRITICAL
Ord_563,38565,2009-03-25,CRITICAL
Ord_564,39783,2012-09-20,NOT SPECIFIED
Ord_565,42500,2010-02-05,NOT SPECIFIED
Ord_566,44162,2010-03-19,HIGH
Ord_567,44256,2011-11-19,LOW
Ord_568,44320,2009-04-29,MEDIUM
Ord_569,45377,2011-04-03,LOW
Ord_570,47367,2011-04-16,MEDIUM
Ord_571,47750,2010-06-15,LOW
Ord_572,48388,2009-08-09,HIGH
Ord_573,49059,2009-09-20,MEDIUM
Ord_574,49510,2012-03-20,CRITICAL
Ord_575,49634,2012-03-23,NOT SPECIFIED
Ord_576,50210,2010-07-19,LOW
Ord_577,50503,2012-11-21,MEDIUM
Ord_578,50816,2009-03-27,HIGH
Ord_579,51073,2010-05-14,NOT SPECIFIED
Ord_580,51584,2010-10-17,CRITICAL
Ord_581,51879,2010-08-24,NOT SPECIFIED
Ord_582,52288,2011-08-10,HIGH
Ord_583,53190,2009-09-24,MEDIUM
Ord_584,53536,2012-10-30,HIGH
Ord_585,53572,2010-05-07,MEDIUM
Ord_586,53825,2011-04-09,LOW
Ord_587,53863,2010-06-03,HIGH
Ord_588,54119,2010-05-22,MEDIUM
Ord_589,56224,2012-10-25,MEDIUM
Ord_590,56293,2010-01-05,NOT SPECIFIED
Ord_591,57959,2011-12-30,MEDIUM
Ord_592,58500,2011-02-14,LOW
Ord_593,59584,2010-05-28,MEDIUM
Ord_594,261,2010-06-28,MEDIUM
Ord_595,928,2011-03-01,LOW
Ord_596,1282,2012-02-27,NOT SPECIFIED
Ord_597,1856,2012-03-19,NOT SPECIFIED
Ord_598,1925,2012-03-04,CRITICAL
Ord_599,2848,2012-03-09,CRITICAL
Ord_600,5504,2010-01-05,HIGH
Ord_601,8390,2012-04-21,MEDIUM
Ord_602,8545,2009-06-17,LOW
Ord_603,9573,2012-06-13,MEDIUM
Ord_604,9892,2012-07-16,MEDIUM
Ord_605,10048,2009-05-15,NOT SPECIFIED
Ord_606,10144,2011-01-02,CRITICAL
Ord_607,10432,2012-01-05,LOW
Ord_608,10661,2009-01-23,NOT SPECIFIED
Ord_609,12806,2011-12-24,NOT SPECIFIED
Ord_610,13158,2012-11-20,CRITICAL
Ord_611,13507,2012-12-29,MEDIUM
Ord_612,14375,2010-01-31,MEDIUM
